id,유저ID,내용
1898,역사에남을코메디,비교되네요
1899,역사에남을코메디,매크로인가
1900,문효주,여기 일베들 많이 오네요. 이슈 안되었으면 관심도 없었을 찐따들이. 신고 . 어휴 시비충들
1901,공0,섭종 ㅊ 
1902,공0,오 댓글은 달리네
1903,꽃부리 영,한복은 한국전통의상이다 이것들아 
1904,매화G,환불된분들도 나오는데 언능 나도 환불해줘라 삭제하고 나가게 지긋지긋하다 빨리 환불해줘
1905,달하,근데 저 하트는 무슨생각으로 눌러주는거져 섭종이 좋아선가
1906,리지,어후 꼴좋다 
1907,SUSAN,환불된돈 들어왔다 다시는보지말자
1908,뒷통수 맞고 왔다,앞으로 중국게임은 불매하겠습니다.
1909,김량량,야 점검 2시간 반남았다 어디 연장점검 5차 하나 보자 팝콘가져온다 딱대 
1910,여기가어디죠,연장점검 각
1911,Acys,빨리 환불해줘
1912,소솜,저만 아직 환불 안 들어왔나요 불안한데🥲
1913,아리랑도 한국것,지금 순차적으로 환불진행하고있고 한국직원분이 적어서 처리속도가느린것같아여
1914,소솜,아 감사합니다 구글에서 환불 거절 당한 것도 받을 수 있는 거 맞나요??
1915,아리랑도 한국것,대부분 개발자이메일에 연락취하시고 추가적으로 구글에연락해서 환불받으신분들도계시고 거절당해도 아마 자동으로 환불되는거로알고있어서 크게 걱정안하셔도될것같아오 
1916,소솜,감사합니다 너무 걱정했는데 다행이네요
1917,아리랑도 한국것,아니에요 오히려 도움이됬다니 다행이네요 힘내세요 
1918,4번은개인주의,짱깨쒝끼들 웃기네 후진국겜 해주니 주제모르고 기어오르누 앰생 근본도 없는 잡종들이
1919,유,점검 56시간째 
1920,아리랑도 한국것, 점검 세계기록 
1921,케임,나만 환불 안되는 느낌 불안 그리고 5차 연장점검 언제 뜨냐
1922,한국사랑해,5차로 늘어날까봐 무서워진다
1923,유즈나,환불 언제 해주노
1924,삐이,착한 짱깨는 천안문때 다 뒤졌다. 벌레와 중국인의 유일한 차이점은 글자 수
1925,한세이,짜증나요 진짜 알아요? 샤이닝니키에 소비한 제 시간 어떻게 보상해주실건데요? 댓글 읽기나 하시나요???? 그 전에 결제하셨던 유저분들 보상은요 이렇게 서비스 종료해버리면 유저들은 어떡하죠?? 파스타처럼 이벤트없어도 서비스는 계속 하던가요 진짜 너무 어이없어서 
1926,앨범,연장점검 언제까지 하는거에요? 점검하다가 섭종되겠네
1927,김량량,야 38분 남았는데 어떡할거냐? 또 5차 추가점검 하게 ?아 개새끼들아 레전드 찍어보자고 아 
1928,김량량,그리고 최고속도 섭종 2위 축하한다 접을거 걍 1위 탈환해버리지 ㅅ들 역사에 길이길이 짱깨로 남자 
1929,퓨네,꺼져
1930,망겜수준,이제 4분 남았다 
1931,지금사라져뭘꾸물거려,얘넼 한섭 섭종때리더니 중섭가서는 한복 냈다면서요? 진짜 개쓰레기민폐미친도라이병신짱깨새끼
1932,유녀,서버 열려낭 뭐 패치 됬긴 했네용?
1933,한복은 대한민국것,"여러분 중국으로부터 우리나라 문화유산 지켜 주세요 국민청원 동의 부탁드리겠습니다. <a href=""https www1.president.go.kr/petitions/Temp/EGavCZ"" target=""_blank"">https www1.president.go.kr/petitions/Temp/EGavCZ</a>"
1934,도도한아미,동의했습니다
1935,한복은 대한민국것,감사합니다 
1936,매화G,동의했어요
1937,한복은 대한민국것,감사합니다 
1938,An예지,뭐지
1939,쵸수니,게임 삭제했는데 지금 게임 실행되나요? 
1940,한국사랑해,네 되긴되네요 다들 몽환에 지르시는중
1941,wingineer,게임 없어요 사라짐
1942,도도한아미,전 겜 다운받아져서 접했어요 
1943,리코0,점검 드뎌 끝났네요 뭔 점검을 이틀이나 쳐하는지
1944,망겜수준,공지 올려놓고 댓글 쳐 막네 눈 가리고 아웅하네 
1945,An예지,뭐 보상은 안주니? 정검연장을 무슨 이틀이나 해놓곸 
1946,지니아트,저번에 점검 보상 공지 올린거 슬쩍 내용 지웠더라구요 이제 필요 없어지니까 보상은 커녕 사과도 제대로 안하네요
1947,An예지,어이없어가지고 역시 중국이 중국 했군요 한국 운영진들 입속 닫게 만들고 어이털려요 
1948,라쿤r,어자피 섭종하는데 공지는 왜올린겨
1949,섭종,점검끝났는데 이미 겜 삭제했는데 마켓 다운로드 못하는데 저건 왜 올린거??
1950,룽룽,연장 존나 하셔놓고 왜 빛이 아니라 그냥 몽환의 바다에서 뽑은거도 다 회수하시고 이건 재화 안돌려주신건지 진짜 섭종한다고 지 좆대로 하네요 릴리스 로앙 스토리 보고 지울랫는데 걍 지움
1951,알파,나라가 땅덩이만 크고 수준은 낮네 평생 그렇게 살아
1952,치타,환불 언제 해주는거야 하 
1953,유,이제 정말 보내줄 수 있을거 같다 만나서 더러웠고 다신 만나지 말자 파페 꺼져 
1954,히즈,아악 개같네 이제야 샤이닝 띄워주냐
1955,니킥ㅗ,점검 끝났네 
1956,니킥ㅗ,섭종하니까 릴리스 샤이닝 나오는거 개빡치네 자기소개도 막아놓고
1957,An예지,이제 여기 댓글도 삭제 중이니?
1958,An예지,아 아니구나
1959,츠네,아니 뭐 열마나 운영했다고 벌써 섭종이에요?
1960,라치RACHI,환불했는데 다이아그대로있어서 몽환으바다에 탕진하고 60개도 썼습니다
1961,어피치,환불이나 빨리해 
1962,어피치,그리고 느그가 왜 분노스러워 문화 강탈 당할 뻔한 우리가 빡쳐야지
1963,SUSAN,와 샤이닝 나오네 미친.  보석 다쓰고탈퇴하려했는데 빡친다
1964,HIJYSEO,로앙 샤이닝 뽑았었는데 그것도 가져가버리네 덕분에 미련없이 접어요
1965,SUSAN,잘가렴니키 내추억을 망친 니키 잘가렴 그와중에 땅이 울린다니 니키 넌땅이 울리니 난 속이터져서 울린다 얘야
1966,소원을말해봐,千万要自杀。 没有爸爸妈妈的中国家伙们。 唉求你死吧。 完蛋了把我的个人信息还给我
1967,21400,중국 너 진짜 싫다 이따구로 대응할거면 앞으로 게임 만들지마
1968,지구의악짱개,중국인이 사람인가여? 다들 큰 착각을 하고 있군여 코로나 바이러스 뿌려서 지구를 오염시킨 중국인은 벌레에 불과하죠 시진핑 개ㅅㅐ끼 마오쩌뚱 개 ㅣ ㅏ세끼 엠두ㅣ세 ㅣ 빨 두ㅣ져서 착해지자 착한 중국인은 두ㅣ진 중국인 제 2의 난징대축제 가자 
1969,지구의악짱개,짱ㅐ는 벌레새끼 
1970,매화G,환불이나 빨리해줘요 점검 끝나든지 말든지 이제 관심밖이라 환불 빨리해줘요
1971,y34,이야댓글 싹 지웠네 댓달았었는데
1972,아 리,여러분 소름돋는소식
1973,아 리,china korea 금칙언데 japan 금칙어아니고 짱깨 중궈 금칙어
1974,달봉,미친놈들아 
1975,아 리,우한폐렴도 금칙엌 
1976,아 리,지들 욕은 못참겟다 이거냐
1977,매화G,저런것도 유투버라고 꼴값을 하드라구요 개나소나 유투버하나봅니다
1978,한복은 대한민국것,그르게요 무식한것도 죄라더니 쟤들은 무식하기까지 하니 불쌍하네요 
1979,우와아아아,한복은 한국의 전통의상입니다. 
1980,한복은 대한민국것,한복은 대한민국 민주주의 상징이다. Hanbok is the symbol of democracy in Korea. 韩服是韩国的民主主义象征 韓服是韓國的民主主義象徵 한복은 대한민국 전통의상이다. Hanbok is a traditional Korean costume. 韓服是韓國傳統服裝 韩服是韩国传统服装 Fraud with Korean cultural heritage. 한국 문화유산으로 사기친다. 被骗为韩国文化遗产 被騙爲韓國文化遺產
1981,한복은 대한민국것,여러분 중국으로부터 우리나라 문화유산 지켜 주세요 국민청원 동의 부탁드리겠습니다.
1982,매화G,동의 여러번 되었음 좋겠어요 동생친구지인들한테 청원하라 했습니다 수고 많으십니다
1983,한복은 대한민국것,감사합니다 저도 카톡 트위터로 동의되서 두번 했네요 
1984,매화G,몇분이나 환불 받으셨어요 환불 아직 못받았는데. 다 환불한다 했으니 기다려 봐야겠지요
1985,한복은 대한민국것,샤이닝니키 멋대로 한복이 중국 거라고 우기고 동북공정반대 중화사상가득 완전 심한듯 한국 섭 강제로 닫아 버리고 환불도 안해주고 중국일본 역사왜곡 심하고 한국문화유산 갈취해갈 생각만 가득 한국유저들한텐 사과 한번 없다 위구르족 독립지지 홍콩 독립지지 대만 독립지지
1986,김종이,오 여긴 댓이 달리네 시진핑병신
1987,천안문기억해,국민청원
1988,포카,섭종해서 이건 안 주냐 마지막으로 몽환 지르고 삭제할라 그랬는데 역시 ㅈ망겜 
1989,치타,그래서 난 언제 환불 해주냐고 
1990,왕돼지삼겹살,게임실행 안되는거 레전드
1991,한도해,탈퇴 어케함
1992,한도해,탈퇴하는법 좀
1993,맹고,대응하는 수준이 이건 좀 아닌듯 
1994,달하,언제 환불됨
1995,맹고,니들이 그러고도 사람이냐 
1996,모브모브,아 예 환불이랑 개인정보 파기 제대로나 해주세요 허 참나 내 돈
1997,아리랑도 한국것,저희카페 가입하셔서 환불 인증글과 환불하는 절차 보고가세요
1998,후츄,다 환불해줘라 ㅅ들아
1999,hanbok is Korean,사과문 없어
2000,럄,마지막으로 댓쓰고 탈퇴합니다 한복은 대한민국의 것 입니다 독도가 일본땅이라고 우기는 원숭이 새끼들이나 한복이 지네꺼라고 우기는 변발 새끼들이나 배워 쳐먹은게 도둑질 밖에 없지 수준 떨어져서 눈 뜨고 못보겠다 무식하니까 쪽팔린것도 모르지 너네 불쌍해 진짜 
2001,천안문탱크,사실 치파오도 대만꺼임 
2002,치타,환불 언제 해줄꺼냐거
2003,망겜수준,현재 댓글 2525개 3000개 가즈아
2004,한복은 대한민국것,샤이닝니키 동북공정 국민청원 동의 샤이닝니키 국민청원 한복 한글 아리랑김치 지켜요
2005,한복은 대한민국것,한복은 대한민국 민주주의 상징이다. Hanbok is the symbol of democracy in Korea. 한복은대한민국의상이다 Hanbok_is_a_traditional_Korean_costume 韓服是韓國傳統服裝 韩服是韩国传统服装
2006,MOMOCAT,진짜 욕나오게 하네 더럽다 진짜
2007,테라피,프리홍콩
2008,한복은한국꺼임 ,환불 완료 되었으니 전 탈퇴하고 갑니다 한복은 한국꺼예요 다신 만나지말자 
2009,치타,나도 환불 해주라거 탈퇴하게 아어 욕나오네
2010,아야,부캐하나 만들어봤는데 혹시나해서 해봤더니 역시 그와중 쪽바리는 검열 안되서 닉넴 쪽바리댐 시발
2011,Lima,와 무섭네요 
2012,282,한복이벤트 수욜에 오픈됐는데 유저들이 48시간 이내에 환불받으려하니까 공지에 금욜까지 환불 언급함서 48시간 넘기게 유도한거 개오바구요 즈그들이 직접 즈그문화 뿌셔서 근본없어진 주제에 이제와서 사라진 근본 찾겠다고 남의나라 문화 쌔빌 생각이나 하고있는것도 재수없음 개쓰레기들
2013,팅커벨,난 왜 아직까지 환불 안되지 구글로 산거는 환불 안됨
2014,팅커벨,주말에는 환불을 안 해주나요
2015,눈루,여윽시 중국 짱깨들 일본도 우리한테 지랄하는데 중국도 지랄이네 진짜 동쪽 서쪽 다 합쳐서 난리를 치네 흡사 어린이둘이서 엄마한테 이거 사달라고 엄마 양팔 잡고 흔드는 그런 이미지가 머리 속에 떠오른다 아 내 불쌍한 2400원 내가 미쳤지.아니 우리나라 근처 나라들은 왜 이래 진짜 아니 증말로다가 한대 쥐어박고 싶어 우리나라 비하 시비 걸었다가 자기네들 주장이 틀리니까 갑자기 다른 이야기로 또 다시 시비걸었다 개 발리는 일본애들 본받아서 중국애들도 똑같이 되는건가 아이구 증말 남쪽 빼고 북쪽동쪽서쪽 다 난리네 난리야
2016,천안문탱크,북한 추가
2017,토토나모,레게노
2018,힝쓰,뻔뻔 그자체 ㅈ국
2019,천안문탱크,짱깨들은 천안문 노래틀면 잡혀간다죠
2020,천안문탱크,워아잇 베이징 톈안먼
2021,천안문탱크,톈안멘셩 타잇양셩
2022,Acys,喂这些该死的家伙们你们都散开了韩服也不像你们说的要没有你们空气也不会变干净连可罗娜都没有从哪儿跑啊退钱和个人信息都解决了滚出去吧。 야 이 망할 새끼들아 코로나도 너네가 퍼트리고 한복도 니네들것이라는 말 같지도 않는거 작작해 니네 없었으면 공기도 깨끗하고 코로나도 없었을거야 다 해결되지도 않았는데 어디서 도망이야 환불이랑 개인정보 다 해결하고 꺼져라
